variable,suggested_domain,n_waves_present,w1_label,w1_label_present,w2_label,w2_label_present,w3_label,w3_label_present,w4_label,w4_label_present,w5_label,w5_label_present,w6_label,w6_label_present,similar_variables,similarity_scores
q116,corruption,6,anyone you know personally witnessed an act of corruption?,TRUE,How well do you think the government responds to what people want?,TRUE,q116. How widespread do you think corruption and bribe-taking are in your local/municipal government?  Would you say …?,TRUE,116 How much do you feel that having elections makes the government pay attention to what the people think?,TRUE,116 People can join any organization they like without fear,TRUE,116 How widespread do you think corruption and bribe-taking are in the national government?,TRUE,q116e; q116e,0.877; 0.877
q101,democracy,6,To what extent would you want our country to be democratic now?,TRUE,Second Response,TRUE,"q101. When government leaders break the laws, there is nothing the court can do.",TRUE,101. People have the power to change a government they don't like,TRUE,101 Where would you place our country under the present government?,TRUE,"101  Between elections, the people have no way of holding the government responsible for its actions.",TRUE,q97; q97,1; 1
q103,democracy,6,Do you think democracy is suitable for our country?,TRUE,People have the power to change a government they don't like,TRUE,q103. All citizens from different ethnic communities in Country X are treated equally by the government.,TRUE,"103. Between elections, the people have no way of holding the government responsible for its actions.",TRUE,103 Where would you expect our country to be ten years from now?,TRUE,103  All citizens from different ethnic communities in the [Country X] are treated equally by the government.,TRUE,q98; q98,0.812; 0.812
q111,economic,6,Economic development- is better than before?,TRUE,People can join any organization the like without fear,TRUE,q111.  How often do you think our elections offer the voters a real choice between different parties/candidates?,TRUE,111 How often do government officials withhold important information from the public view?,TRUE,"111 When government leaders break the laws, there is nothing the court can do",TRUE,111 To what extent is the legislature capable of keeping government leaders in check?,TRUE,NA,NA
q119,economic; democracy,5,choose between democracy and economic development?,TRUE,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,TRUE,q119. Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? IF WITNESSED: Did you personally witness it or were you told about it by a family member or friend who per,TRUE,"119 In your opinion, is the government working to crack down on corruption and root out bribery?",TRUE,119 How often do you think our elections offer the voters a real choice between different parties/candidates?,TRUE,NA,FALSE,NA,NA
q105,freedom; efficacy,6,Everyone is free to say what they think- is better than before?,TRUE,Political parties or candidates in our country have equal access to the mass media during the election period,TRUE,"q105. People have basic necessities like food, clothes, and shelter.",TRUE,105. All citizens from different ethnic communities in the country are treated equally by the government.,TRUE,105 How satisfied or dissatisfied are you with the current president/government?,TRUE,"105  People have basic necessities like food, clothes, and shelter.",TRUE,NA,NA
q100,governance,6,Where would you place our country under the present government?,TRUE,"In your opinion, what are the most important questions facing the country that government should address?",TRUE,"q100. Between elections, the people have no way of holding the government responsible for its actions.",TRUE,100. How likely is it that the government will solve the most important problem you identified within the next five years?,TRUE,100 In your opinion how much of a democracy is our country?,TRUE,"100  In our country, parties and candidates not in power have opportunities to be elected into government.",TRUE,q96; q96; q95; q95; q099,1; 1; 0.869; 0.869; 0.825
q125,governance,6,"It is ok for the government to disregard the law in order to deal with the situation, when the country is facing a diffi",TRUE,Only one political party is allowed to stand for election and hold office,TRUE,q125. Which of the following statements comes closer to your own view?,TRUE,125 Which of the following statements comes closest to your own opinion?,TRUE,125 How widespread do you think corruption and bribe-taking are in the national government?,TRUE,125 Which of the following statements comes closer to your own view?,TRUE,NA,NA
q130,governance,6,Our form of government is still the best for us,TRUE,You can generally trust the people who run our government to do what is right (HK: Hong Kong government),TRUE,q130. Only one political party should be allowed to stand for election and hold office.,TRUE,130 We should get rid of parliament and elections and have a strong leader decide things.,TRUE,130 Where would you place Japan today on this scale?,TRUE,130 Only one political party is allowed to stand for election and hold office.,TRUE,NA,NA
q134,governance,6,The government should decide whether certain ideas should be allowed to be discussed in society,TRUE,Government leaders are like the head of a family; we should all follow their decisions,TRUE,q134. Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.,TRUE,134 I think I have the ability to participate in politics.,TRUE,"134 If you had to choose between democracy and economic development, which would you say is more important?",TRUE,134 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.,TRUE,NA,NA
q140,governance,6,The government should maintain ownership of major state-owned enterprises,TRUE,"If people have too many different ways of thinking, society will be chaotic",TRUE,q140. People with little or no education should have as much say in politics as highly-educated people.,TRUE,140 The government should consult religious authorities when interpreting the laws,TRUE,140 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,TRUE,"140 Thinking of the negative impact of Covid-19 on your family's livelihood, how serious it is in your view?",TRUE,NA,NA
q141,governance,6,The national government should have more authority over local decisions than it does now,TRUE,"When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation",TRUE,q141. Government leaders are like the head of a family; we should all follow their decisions.,TRUE,141 People with little or no education should have as much say in politics as highly-educated people,TRUE,141 I think I have the ability to participate in politics,TRUE,141 How much do you trust the Covid-19 related information provided by the government?,TRUE,NA,NA
q115,governance; corruption,6,How widespread corruption in the national government?,TRUE,To what extent is the legislature capable of keeping the government in check?,TRUE,q115. How much do you feel that having elections makes the government pay attention to what the people think?,TRUE,115 How well do you think the government responds to what people want?,TRUE,115 People are free to speak what they think without fear,TRUE,115 How widespread do you think corruption and bribe-taking are in your local/municipal government?,TRUE,q114; q114,0.839; 0.839
q114,governance; corruption; local_govt,6,How widespread corruption in your local/municipal government?,TRUE,How often do your think our elections offer the voters a real choice between different parties/candidates?,TRUE,"q114. In your neighborhood or community, do people voice their interests and concerns in local affairs?",TRUE,114 To what extent is the legislature capable of keeping government leaders in check?,TRUE,"114 People have basic necessities like food, clothes, and shelter",TRUE,114 How capable is the government of enforcing laws and implementing policies?,TRUE,q115; q115,0.839; 0.839
q107,governance; efficacy,6,People like me can have an influence on government- is better than before?,TRUE,"When the government breaks the laws, there is nothing the legal system can do",TRUE,q107. People can join any organization they like without fear.,TRUE,"107. People have basic necessities like food, clothes, and shelter",TRUE,107 How likely is it that the government will solve the most important problem you identified within the next five years?,TRUE,107  People can join any organization they like without fear.,TRUE,q129; q129,0.802; 0.802
q129,governance; efficacy,6,People like me don't have any influence over what the government does,TRUE,"Whatever its faults may be, our form of government is still the best for us",TRUE,"q129. There are many ways to govern a country. Would you disapprove or approve of the following alternatives? For each statement, would you say you strongly approve, approve, disapprove, or strongly disapprove? We should get rid of parliament and election",TRUE,"129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"".",TRUE,129 Where would you place the United States today on this scale?,TRUE,129 We should get rid of parliament and elections and have a strong leader to decide things.,TRUE,q107; q107,0.802; 0.802
q106,governance; equality,6,Everyone is treated equally by the government- is better than before?,TRUE,"Between elections, the people have no way of holding the government responsible for its actions",TRUE,q106. People are free to speak what they think without fear.,TRUE,106 Rich and poor people are treated equally by the government,TRUE,106 What are the first most important problems facing this country that government should address(1st response)?,TRUE,106  People are free to speak what they think without fear.,TRUE,NA,NA
q133,governance; executive; social_capital,6,Government leaders are like the head of a family; we should all follow their decisions,TRUE,People with little or no education should have as much say in politics as highly-educated people,TRUE,"q133. I have here some statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? I think I have the ability to participate in politics.",TRUE,133 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,TRUE,133 Which of the following statements comes closer to your own view?,TRUE,133 I think I have the ability to participate in politics.,TRUE,NA,NA
q137,governance; legislature,6,"If the government is constantly checked by the legislature, it cannot possibly accomplish great things",TRUE,"When judges decide important cases, they should accept the view of the executive branch",TRUE,"q137. A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",TRUE,137 You can generally trust the people who run our government to do what is right.,TRUE,137 We should get rid of parliament and elections and have a strong leader decide things.,TRUE,"137 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",TRUE,NA,NA
q104,governance; satisfaction,6,How satisfied or dissatisfied are you with the current government?,TRUE,Our current courts always punish the guilty even if they are high-ranking officials,TRUE,q104. Rich and poor people are treated equally by the government.,TRUE,"104. When government leaders break the laws, there is nothing the court can do.",TRUE,104 Where would you place our country today? Democracy is suitable or not,TRUE,104  Rich and poor people are treated equally by the government.,TRUE,q99; q99,0.936; 0.936
q136,judiciary; executive,6,"When judges decide important cases, they should accept the view of the executive branch",TRUE,Harmony of the community will be disrupted if people organize lots of groups,TRUE,q136. You can generally trust the people who run our government to do what is right.,TRUE,136 People like me don't have any influence over what the government does.,TRUE,"136 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"".",TRUE,136 You can generally trust the people who run our government to do what is right.,TRUE,NA,NA
q143,local_govt,5,"For the sake of the national community/society, the individual should be prepared to sacrifice his personal interest",TRUE,The local government should have more authority over local decisions than it does now,TRUE,q143. Harmony of the community will be disrupted if people organize lots of groups.,TRUE,143 The government should decide whether certain ideas should be allowed to be discussed in society,TRUE,143 People like me don`t have any influence over what the government does,TRUE,NA,FALSE,q76; q76,0.936; 0.936
