concept,wave,variable,exists
age,Wave2,se3a,TRUE
age,Wave3,se3a,TRUE
age,Wave4,se3a,FALSE
age,Wave5,se3a,FALSE
age,Wave6,se3a,FALSE
gender,Wave2,se2,TRUE
gender,Wave3,se2,TRUE
gender,Wave4,se2,TRUE
gender,Wave5,se2,FALSE
gender,Wave6,se2,TRUE
education,Wave2,se5,TRUE
education,Wave3,se5,TRUE
education,Wave4,se5,TRUE
education,Wave5,se5,FALSE
education,Wave6,se5,TRUE
income,Wave2,se9,TRUE
income,Wave3,se9,TRUE
income,Wave4,se9,TRUE
income,Wave5,se9,FALSE
income,Wave6,se9,TRUE
urban_rural,Wave2,level3,TRUE
urban_rural,Wave3,level3,TRUE
urban_rural,Wave4,level,TRUE
urban_rural,Wave5,Level,TRUE
urban_rural,Wave6,LEVEL,FALSE
country,Wave2,country,TRUE
country,Wave3,country,TRUE
country,Wave4,country,TRUE
country,Wave5,COUNTRY,TRUE
country,Wave6,country,TRUE
year,Wave4,year,TRUE
year,Wave5,Year,TRUE
year,Wave6,YEAR,FALSE
respondent_id,Wave2,idnumber,TRUE
respondent_id,Wave3,idnumber,TRUE
respondent_id,Wave4,idnumber,TRUE
respondent_id,Wave5,idnumber,FALSE
respondent_id,Wave6,idnumber,TRUE
