variable,label_clean,label,wave,value_labels_sample,n_waves,cluster_id,domains,primary_domain,all_domains
q137,if the government is constantly checked by the legislature it cannot possibly accomplish great things,"If the government is constantly checked by the legislature, it cannot possibly accomplish great things","Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,"['accountability', 'legislature']",accountability,accountability; legislature
q160a,a it is the responsibility of the government to narrow the gap between the rich and the poor,160a It is the responsibility of the government to narrow the gap between the rich and the poor,"Wave5, Wave6",Missing = -1; All responsibility = 1; Most of the responsibility = 2,2,-1,['accountability'],accountability,accountability
q160b,b it is the responsibility of the government to make sure that everyone has affordable housing,160b It is the responsibility of the government to make sure that everyone has affordable housing,"Wave5, Wave6",Missing = -1; All responsibility = 1; Most of the responsibility = 2,2,-1,['accountability'],accountability,accountability
q160c,c it is the responsibility of the government to make sure that everyone has access to basic medical care,160c It is the responsibility of the government to make sure that everyone has access to basic medical care,"Wave5, Wave6",Missing = -1; All responsibility = 1; Most of the responsibility = 2,2,-1,['accountability'],accountability,accountability
q160d,d it is the responsibility of the government to make sure that basic necessitities such as food and shelters are provided for everyone,160d It is the responsibility of the government to make sure that basic necessitities such as food and shelters are provided for everyone,"Wave5, Wave6",Missing = -1; All responsibility = 1; Most of the responsibility = 2,2,-1,['accountability'],accountability,accountability
q145a,checked by the legislature,checked by the legislature,Wave3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,1,-1,"['accountability', 'legislature']",accountability,accountability; legislature
q123,the military should come in to govern the country,The military should come in to govern the country,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['authoritarianism'],authoritarianism,authoritarianism
q129a,strong leader,strong leader,Wave3,0 rejection = 0; 1 acceptance/others = 1,1,-1,['authoritarianism'],authoritarianism,authoritarianism
q113,you can join any organization you like is better than before,You can join any organization you like- is better than before?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Much worse = 1; Somewhat worse = 2; Much the same = 3,6,-1,['civil_society'],civil_society,civil_society
q19,trust in ngos,Trust in NGOs,"Wave2, Wave3, Wave4, Wave5, Wave6",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,5,-1,['civil_society'],civil_society,civil_society
q20,are you a member of any organization or formal groups,Are you a member of any organization or formal groups?,"Wave2, Wave3, Wave4, Wave5, Wave6",Yes = 1; No = 2; Can't choose = 8,5,-1,['civil_society'],civil_society,civil_society
q82,contacted officials of political parties or other political organizations,Contacted officials of political parties or other political organizations,"Wave2, Wave3, Wave4, Wave5, Wave6",Once = 1; More than once = 2; Never = 3,5,-1,"['civil_society', 'social_capital']",civil_society,civil_society; social_capital
q83,contacted representative of non government civil society organizations,Contacted representative of non-government/civil society organizations,"Wave2, Wave3, Wave4, Wave5, Wave6",Once = 1; More than once = 2; Never = 3,5,-1,"['civil_society', 'social_capital']",civil_society,civil_society; social_capital
q21,second organization,q21. Second Organization,"Wave3, Wave4, Wave5, Wave6",Missing = -1; Not applicable = 0; Political parties = 1,4,-1,['civil_society'],civil_society,civil_society
q22,third organization,q22. Third Organization,"Wave3, Wave4, Wave5, Wave6",Missing = -1; Not applicable = 0; Political parties = 1,4,-1,['civil_society'],civil_society,civil_society
q050,influential_member official of organization that you belong to,Influential_MEMBER/OFFICIAL OF ORGANIZATION THAT YOU BELONG TO,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['civil_society'],civil_society,civil_society
q076,contacted political parties or other political organizations,Contacted political parties or other political organizations?,Wave1,Once = 1; More than once = 2; Never done = 9,1,-1,"['civil_society', 'social_capital']",civil_society,civil_society; social_capital
q077,contacted non government civil society organizations,Contacted non-government/civil society organizations?,Wave1,Once = 1; More than once = 2; Never done = 9,1,-1,"['civil_society', 'social_capital']",civil_society,civil_society; social_capital
q084,did you do this alone or with others _contacted political parties or other political organizations,Did you do this alone or with others?_contacted political parties or other political organizations,Wave1,No = 1; Yes(with others) = 2; Not applicable = 97,1,-1,"['civil_society', 'social_capital']",civil_society,civil_society; social_capital
q085,did you do this alone or with others _ contacted non government civil society organizations,Did you do this alone or with others?_ contacted non-government/civil society organizations,Wave1,No = 1; Yes(with others) = 2; Not applicable = 97,1,-1,"['civil_society', 'social_capital']",civil_society,civil_society; social_capital
q092,gift or dinner_contacted political parties or other political organizations,Gift or dinner_contacted political parties or other political organizations,Wave1,No = 1; Yes(with others) = 2; Not applicable = 97,1,-1,"['civil_society', 'social_capital']",civil_society,civil_society; social_capital
q093,gift or dinner_contacted non goverment civil society organizations,Gift or dinner_contacted non-goverment/civil society organizations,Wave1,No = 1; Yes(with others) = 2; Not applicable = 97,1,-1,"['civil_society', 'social_capital']",civil_society,civil_society; social_capital
q20_1,first organization,First organization,Wave2,Political parties = 1; Residential & community associations = 2; Religious groups = 3,1,-1,['civil_society'],civil_society,civil_society
q20_2,second organization,Second organization,Wave2,Political parties = 1; Residential & community associations = 2; Religious groups = 3,1,-1,['civil_society'],civil_society,civil_society
q20_3,third organization,Third organization,Wave2,Political parties = 1; Residential & community associations = 2; Religious groups = 3,1,-1,['civil_society'],civil_society,civil_society
q108,corruption in politics and government is under control is better than before,Corruption in politics and government is under control- is better than before?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Much worse = 1; Somewhat worse = 2; Much the same = 3,6,-1,['corruption'],corruption,corruption
q114,how widespread corruption in your local municipal government,How widespread corruption in your local/municipal government?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Almost everyone is corrupt = 1; Most officials are corrupt = 2; Not a lot of officials are corrupt = 3,6,-1,"['corruption', 'local_government']",corruption,corruption; local_government
q115,how widespread corruption in the national government,How widespread corruption in the national government?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Almost everyone is corrupt = 1; Most officials are corrupt = 2; Not a lot of officials are corrupt = 3,6,-1,['corruption'],corruption,corruption
q116,anyone you know personally witnessed an act of corruption,anyone you know personally witnessed an act of corruption?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Yes = 1; No = 2; Not Applicable = 97,6,-1,['corruption'],corruption,corruption
q018_9,the corruption commission q18_3,The Corruption Commission(q18_3),Wave1,none at all = 1; not very much trust = 2; quite a lot of trust = 3,1,-1,['corruption'],corruption,corruption
q172c,c widespread corruption that the president claims can only be reduced by increasing executive power,172c Widespread corruption that the president [PM] claims can only be reduced by increasing executive power,Wave6,Missing = -1; Not applicable = 0; Very justified = 1,1,-1,['corruption'],corruption,corruption
q172a,a which circumstance would justify the governments s use of emergency powers to costrain rights and freedom a public health crisis like the covid 19 pandemic,172a Which circumstance would justify the governments's use of emergency powers to costrain rights and freedom: A public health crisis like the Covid-19 pandemic,Wave6,Missing = -1; Not applicable = 0; Very justified = 1,1,-1,['covid'],covid,covid
q101,to what extent would you want our country to be democratic now,To what extent would you want our country to be democratic now?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Complete dictatorship = 1; Complete democracy = 10; Not Applicable = 97,6,-1,['democracy_level'],democracy_level,democracy_level
q94,in your opinion how much of a democracy is,In your opinion how much of a democracy is [country]?,"Wave2, Wave3, Wave4, Wave5, Wave6","A full democracy = 1; A democracy, but with minor problems = 2; A democracy, with major problems = 3",5,-1,['democracy_level'],democracy_level,democracy_level
q97,to what extent would you want our country to be democratic now,To what extent would you want our country to be democratic now?,"Wave2, Wave3, Wave4, Wave5, Wave6",Complete Dictatorship = 1; ... = 2; ... = 3,5,-1,['democracy_level'],democracy_level,democracy_level
q93,on the whole how satisfied or dissatisfied are you with the way democracy works in,"On the whole, how satisfied or dissatisfied are you with the way democracy works in [country]?","Wave2, Wave3, Wave4, Wave5, Wave6",Not at all satisfied = 1; Not very satisfied = 2; Fairly satisfied = 3,5,-1,['democracy_satisfaction'],democracy_satisfaction,democracy_satisfaction
q098,satisfaction with the way democracy works in our country,Satisfaction with the way democracy works in our country?,Wave1,Not at all satisfied = 1; Not very satisfied = 2; Fairly satisfied = 3,1,-1,['democracy_satisfaction'],democracy_satisfaction,democracy_satisfaction
q103,do you think democracy is suitable for our country,Do you think democracy is suitable for our country?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Completely unsuitable = 1; Completely suitable = 10; Don't know = 98,6,-1,['democracy_support'],democracy_support,democracy_support
q98,which would you think democracy is suitable for our country,Which would you think democracy is suitable for our country?,"Wave2, Wave3, Wave4, Wave5, Wave6",Democracy is completely unsuitable = 1; ... = 2; ... = 3,5,-1,['democracy_support'],democracy_support,democracy_support
q111,economic development is better than before,Economic development- is better than before?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Much worse = 1; Somewhat worse = 2; Much the same = 3,6,-1,['economic_evaluation'],economic_evaluation,economic_evaluation
q1,how would you rate the overall economic condition of our country today,How would you rate the overall economic condition of our country today?,"Wave2, Wave3, Wave4, Wave5, Wave6",Very bad = 1; Bad = 2; So so (not good nor bad) = 3,5,-1,['economic_evaluation'],economic_evaluation,economic_evaluation
q2,how would you describe the change in the economic condition of our country over the last years,How would you describe the change in the economic condition of our country over the last years?,"Wave2, Wave3, Wave4, Wave5, Wave6",Much worse = 1; A little worse = 2; About the same = 3,5,-1,['economic_evaluation'],economic_evaluation,economic_evaluation
q3,what do you think will be the state of our country s economic condition a few years from now,What do you think will be the state of our country's economic condition a few years from now?,"Wave2, Wave3, Wave4, Wave5, Wave6",Much worse = 1; A little worse = 2; About the same = 3,5,-1,['economic_evaluation'],economic_evaluation,economic_evaluation
q4,as for your own family how do you rate your economic situation today,"As for your own family, how do you rate your economic situation today?","Wave2, Wave3, Wave4, Wave5, Wave6",Very bad = 1; Bad = 2; So so (not good nor bad) = 3,5,-1,['economic_evaluation'],economic_evaluation,economic_evaluation
q5,how would you compare the current economic condition of your family with what it was a few years ago,How would you compare the current economic condition of your family with what it was a few years ago?,"Wave2, Wave3, Wave4, Wave5, Wave6",Much worse now = 1; A little worse now = 2; About the same = 3,5,-1,['economic_evaluation'],economic_evaluation,economic_evaluation
q6,what do you think the economic situation of your family will be a few years from now,What do you think the economic situation of your family will be a few years from now?,"Wave2, Wave3, Wave4, Wave5, Wave6",Much worse = 1; A little worse = 2; About the same = 3,5,-1,['economic_evaluation'],economic_evaluation,economic_evaluation
q001,how would you rate the overall economic condition of our country today,How would you rate the overall economic condition of our country today?,Wave1,Very Bad = 1; Bad = 2; So so = 3,1,-1,['economic_evaluation'],economic_evaluation,economic_evaluation
q002,how would you describe the change in the economic condition of our country over the past five years,How would you describe the change in the economic condition of our country over the past five years?,Wave1,Much Worse = 1; A little Worse = 2; About the same = 3,1,-1,['economic_evaluation'],economic_evaluation,economic_evaluation
q003,what do you think will be the state of our country s economic condition five years from now,What do you think will be the state of our country's economic condition five years from now?,Wave1,Much Worse = 1; A little Worse = 2; About the same = 3,1,-1,['economic_evaluation'],economic_evaluation,economic_evaluation
q004,as for your own family how do you rate your economic situation today,"As for your own family, how do you rate your economic situation today?",Wave1,Very Bad = 1; Bad = 2; So so = 3,1,-1,['economic_evaluation'],economic_evaluation,economic_evaluation
q005,how would you compare the current economic condition of your family with what it was five years ago,How would you compare the current economic condition of your family with what it was five years ago?,Wave1,Much worse now = 1; A little worse now = 2; About the same = 3,1,-1,['economic_evaluation'],economic_evaluation,economic_evaluation
q006,what do you think the economic situation of your family will be five years from now,What do you think the economic situation of your family will be five years from now?,Wave1,Much Worse = 1; A little Worse = 2; About the same = 3,1,-1,['economic_evaluation'],economic_evaluation,economic_evaluation
q106,everyone is treated equally by the government is better than before,Everyone is treated equally by the government- is better than before?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Much worse = 1; Somewhat worse = 2; Much the same = 3,6,-1,['equality'],equality,equality
q143b,b to limit freedom of speech or assembly,143b To limit freedom of speech or assembly,Wave6,Missing = -1; Not applicable = 0; Always = 1,1,-1,"['freedom_assembly', 'legislature']",freedom_assembly,freedom_assembly; legislature
q105,everyone is free to say what they think is better than before,Everyone is free to say what they think- is better than before?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Much worse = 1; Somewhat worse = 2; Much the same = 3,6,-1,['freedom_expression'],freedom_expression,freedom_expression
q128,the nation is run by a powerful few and ordinary citizens cannot do much about it,The nation is run by a powerful few and ordinary citizens cannot do much about it,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['identity'],identity,identity
q150,their basic well being should be taken care of by the government to the same extent as other citizens,Their basic well-being should be taken care of by the government to the same extent as other citizens,"Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['identity'],identity,identity
q152,citizens should always obey laws and regulations even if they disagree with them,"Citizens should always obey laws and regulations, even if they disagree with them","Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['identity'],identity,identity
q153,do you agree or disagree with the following statement a citizen should always remain loyal only to his country no matter how imperfect,"Do you agree or disagree with the following statement: ""A citizen should always remain loyal only to his country, no matter how imperfect","Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['identity'],identity,identity
q154,how proud are you to be a citizen of,How proud are you to be a citizen of [Country],"Wave2, Wave3, Wave4, Wave5, Wave6",Very proud = 1; Somewhat proud = 2; Not very proud = 3,5,-1,['identity'],identity,identity
q143d,d to track citizens locations at all times,143d To track citizens’ locations at all times,Wave6,Missing = -1; Not applicable = 0; Always = 1,1,-1,['identity'],identity,identity
q112,judges and courts are free from political interference is better than before,Judges and courts are free from political interference- is better than before?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Much worse = 1; Somewhat worse = 2; Much the same = 3,6,-1,['judiciary'],judiciary,judiciary
q136,when judges decide important cases they should accept the view of the executive branch,"When judges decide important cases, they should accept the view of the executive branch","Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['judiciary'],judiciary,judiciary
q018_8,the constitution court q18_2,The Constitution Court(q18_2),Wave1,none at all = 1; not very much trust = 2; quite a lot of trust = 3,1,-1,['judiciary'],judiciary,judiciary
q144a,judges,judges,Wave3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,1,-1,['judiciary'],judiciary,judiciary
q135,harmony of the community will be disrupted if people organize lots of groups,Harmony of the community will be disrupted if people organize lots of groups,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['local_government'],local_government,local_government
q143,for the sake of the national community society the individual should be prepared to sacrifice his personal interest,"For the sake of the national community/society, the individual should be prepared to sacrifice his personal interest","Wave1, Wave2, Wave3, Wave4, Wave5",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['local_government'],local_government,local_government
q156,relation the european community or european union,Relation: The European Community or European Union,"Wave2, Wave3, Wave4, Wave5, Wave6",Yes = 1; No = 2; Decline to answer = 9,5,-1,['local_government'],local_government,local_government
q32,generally speaking how safe is living in this city town village,"Generally speaking, how safe is living in this city/town/village?","Wave2, Wave3, Wave4, Wave5, Wave6",Very safe = 1; Safe = 2; Unsafe = 3,5,-1,['local_government'],local_government,local_government
q33,compared to the situation in this city town village a few years ago do you feel more safe less safe or the same as before,"Compared to the situation in this city/town/village a few years ago, do you feel more safe, less safe or the same as before?","Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable = 0; More safe = 1; Less safe = 2,5,-1,['local_government'],local_government,local_government
q76,for the sake of the national community society the individual should be prepared to sacrifice,"For the sake of the national community/society, the individual should be prepared to sacrifice","Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['local_government'],local_government,local_government
q160,impression the european community or european union,Impression: The European Community or European Union,"Wave2, Wave3, Wave4",Very Bad = 1; ... = 2; ... = 3,3,-1,['local_government'],local_government,local_government
q143a,harmony of the community,Harmony of the community,"Wave3, Wave6",Missing = -1; Strongly agree = 1; Somewhat agree = 2,2,-1,['local_government'],local_government,local_government
q047,influential_community leaders,Influential_COMMUNITY LEADERS,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['local_government'],local_government,local_government
q71a,a contacted traditional leaders community leaders 4 categories,71a Contacted traditional leaders/community leaders-4 categories,Wave4,Missing = -1; I have done this more than once = 1; I have done this once = 2,1,-1,"['local_government', 'traditional_values', 'social_capital']",local_government,local_government; traditional_values; social_capital
q16,trust in newspaper,Trust in newspaper,"Wave2, Wave3, Wave4, Wave5, Wave6",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,5,-1,['media'],media,media
q17,trust in television,Trust in television,"Wave2, Wave3, Wave4, Wave5, Wave6",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,5,-1,['media'],media,media
q50,how often do you follow news about politics and government,How often do you follow news about politics and government,"Wave2, Wave3, Wave4, Wave5, Wave6",Practically never = 1; Not even once a week = 2; Once or twice a week = 3,5,-1,['media'],media,media
q62,when dealing with others securing one s immediate interests should be more important than developing a long term,"When dealing with others, securing one's immediate interests should be more important than developing a long-term","Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['media'],media,media
q66,how often do you use the internet,How often do you use the internet?,"Wave2, Wave3, Wave4, Wave5, Wave6",Not aware of Internet = 0; Almost daily = 1; At least once a week = 2,5,-1,['media'],media,media
q75,cruel criminals should be punished immediately without regard to time consuming legal processes,Cruel criminals should be punished immediately without regard to time-consuming legal processes,"Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['media'],media,media
q84,contacted traditional leaders community leaders in mass media tw hk acquaintances in the government,Contacted traditional leaders/community leaders (IN: Mass media; TW/HK: Acquaintances in the government),"Wave2, Wave3, Wave4, Wave5, Wave6",Once = 1; More than once = 2; Never = 3,5,-1,"['media', 'local_government', 'traditional_values', 'social_capital']",media,media; local_government; traditional_values; social_capital
q015,how much trust do you have in newspapers,How much trust do you have in newspapers?,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,['media'],media,media
q016,how much trust do you have in television,How much trust do you have in television?,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,['media'],media,media
q018_6,how much trust in radio,how much trust in radio?,Wave1,none at all = 1; not very much trust = 2; quite a lot of trust = 3,1,-1,['media'],media,media
q057,how often do you follow news about politics,How often do you follow news about politics?,Wave1,Practically never = 2; Not even once a week = 3; Once or twice a week = 4,1,-1,['media'],media,media
q057a,how often do you follow news about politics in the daily newspaper television and radio,"How often do you follow news about politics in the daily newspaper, television, and radio?",Wave1,Practically never = 2; Not even once a week = 3; Once or twice a week = 4,1,-1,['media'],media,media
q058,how often do you follow news about politics in the daily newspaper,How often do you follow news about politics in the daily newspaper?,Wave1,Practically never = 2; Not even once a week = 3; Once or twice a week = 4,1,-1,['media'],media,media
q059,how often do you follow news about politics on television,How often do you follow news about politics on television?,Wave1,Practically never = 2; Not even once a week = 3; Once or twice a week = 4,1,-1,['media'],media,media
q060,how often do you follow news about politics on the radio,How often do you follow news about politics on the radio?,Wave1,Practically never = 2; Not even once a week = 3; Once or twice a week = 4,1,-1,['media'],media,media
q078,contacted media to comment on something,Contacted media to comment on something?,Wave1,Once = 1; More than once = 2; Never done = 9,1,-1,"['media', 'social_capital']",media,media; social_capital
q086,did you do this alone or with others _contacted media,Did you do this alone or with others?_contacted media,Wave1,No = 1; Yes(with others) = 2; Not applicable = 97,1,-1,"['media', 'social_capital']",media,media; social_capital
q094,gift or dinner_contacted media,Gift or dinner_contacted media,Wave1,No = 1; Yes(with others) = 2; Not applicable = 97,1,-1,"['media', 'social_capital']",media,media; social_capital
q143c,c to censor the media,143c To censor the media,Wave6,Missing = -1; Not applicable = 0; Always = 1,1,-1,['media'],media,media
q51_1,main source of information question 51 01 television,Main source of information. Question 51.01 Television,Wave2,Not applicable = 0; Yes = 1; No = 2,1,-1,['media'],media,media
